id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
14756,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14757,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14758,45-54,man,India,No,university educated,10+ years,0-2 years,non data role,
14759,45-54,woman,United States of America,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
14760,35-44,man,Brazil,No,university educated,3-10 years,none,data role,"under $30,000"
14761,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14762,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14763,35-44,woman,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14764,18-24,man,Bangladesh,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14765,55+,man,Japan,No,no university,10+ years,2-5 years,unknown/unemployed,
14766,55+,man,South Korea,No,university educated,10+ years,5+ years,data role,"$70,000-$124,999"
14767,35-44,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
14768,18-24,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14769,25-34,man,Singapore,No,university educated,0-3 years,0-2 years,data role,"$30,000-$69,999"
14770,25-34,man,Other,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
14771,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,
14772,35-44,woman,United States of America,Yes,no university,none,unknown,unknown/unemployed,
14773,25-34,man,Pakistan,Yes,university educated,3-10 years,unknown,unknown/unemployed,
14774,25-34,man,Russia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14775,25-34,man,South Korea,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14776,45-54,man,South Korea,No,university educated,3-10 years,0-2 years,non data role,"$70,000-$124,999"
14777,18-24,woman,India,Yes,unknown,none,unknown,unknown/unemployed,
14778,25-34,man,Brazil,Yes,no university,0-3 years,none,unknown/unemployed,
14779,18-24,woman,China,No,unknown,none,unknown,unknown/unemployed,
14780,25-34,man,Egypt,No,university educated,none,unknown,data role,"under $30,000"
14781,35-44,man,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
14782,18-24,woman,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14783,18-24,woman,Bangladesh,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14784,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14785,18-24,man,India,No,university educated,none,unknown,data role,"under $30,000"
14786,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14787,18-24,man,China,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14788,45-54,woman,India,No,university educated,0-3 years,2-5 years,non data role,"$125,000+"
14789,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14790,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
14791,25-34,woman,Other,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14792,18-24,man,Ethiopia,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14793,45-54,man,United Kingdom of Great Britain and Northern Ireland,No,university educated,3-10 years,0-2 years,unknown/unemployed,
14794,18-24,man,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
14795,35-44,man,United States of America,No,university educated,10+ years,none,data role,"$125,000+"
14796,25-34,man,Belgium,No,university educated,3-10 years,0-2 years,data role,"$70,000-$124,999"
14797,18-24,woman,Philippines,Yes,no university,none,unknown,unknown/unemployed,
14798,25-34,woman,United States of America,No,no university,0-3 years,0-2 years,data role,"$125,000+"
14799,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14800,18-24,woman,Bangladesh,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
14801,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14802,18-24,man,India,No,unknown,0-3 years,0-2 years,unknown/unemployed,
14803,25-34,man,Italy,No,university educated,unknown,unknown,unknown/unemployed,
14804,35-44,man,Brazil,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14805,25-34,man,Russia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14806,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14807,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14808,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14809,25-34,man,China,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14810,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,
14811,18-24,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14812,35-44,man,India,No,university educated,10+ years,2-5 years,data role,
14813,45-54,man,Ghana,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14814,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
14815,25-34,man,Brazil,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14816,18-24,woman,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14817,25-34,man,Other,No,university educated,3-10 years,5+ years,unknown/unemployed,
14818,25-34,woman,India,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
14819,25-34,man,Colombia,No,university educated,0-3 years,2-5 years,non data role,"under $30,000"
14820,25-34,man,India,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
14821,18-24,man,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
14822,25-34,woman,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14823,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14824,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14825,25-34,man,Sri Lanka,Yes,no university,none,unknown,unknown/unemployed,
14826,45-54,man,Taiwan,No,unknown,unknown,unknown,unknown/unemployed,
14827,25-34,man,United Arab Emirates,No,university educated,none,unknown,data role,"under $30,000"
14828,18-24,man,United States of America,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14829,18-24,man,Bangladesh,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14830,55+,man,South Korea,No,university educated,3-10 years,5+ years,non data role,"$70,000-$124,999"
14831,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14832,25-34,woman,Kenya,No,university educated,0-3 years,unknown,unknown/unemployed,
14833,25-34,woman,Canada,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
14834,55+,man,Other,No,university educated,3-10 years,none,data role,"under $30,000"
14835,55+,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
14836,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14837,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14838,18-24,man,China,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14839,45-54,man,Japan,No,university educated,10+ years,2-5 years,data role,"$70,000-$124,999"
14840,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14841,45-54,man,Colombia,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14842,35-44,man,Japan,No,university educated,10+ years,2-5 years,data role,"under $30,000"
14843,35-44,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14844,45-54,man,Japan,No,university educated,10+ years,0-2 years,non data role,"$30,000-$69,999"
14845,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14846,35-44,man,India,No,university educated,3-10 years,2-5 years,unknown/unemployed,
14847,25-34,man,United States of America,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
14848,18-24,woman,Bangladesh,Yes,university educated,none,unknown,unknown/unemployed,
14849,18-24,woman,France,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14850,18-24,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14851,25-34,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14852,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14853,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14854,18-24,woman,Pakistan,Yes,unknown,3-10 years,none,unknown/unemployed,
14855,25-34,woman,Morocco,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14856,18-24,man,India,Yes,no university,0-3 years,2-5 years,unknown/unemployed,
14857,35-44,man,United States of America,No,university educated,10+ years,5+ years,non data role,"$125,000+"
14858,25-34,man,United States of America,No,no university,0-3 years,none,unknown/unemployed,
14859,45-54,man,United States of America,No,university educated,10+ years,none,non data role,"$70,000-$124,999"
14860,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14861,35-44,other,United States of America,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14862,35-44,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
14863,35-44,man,Taiwan,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14864,35-44,man,India,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14865,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14866,35-44,man,Pakistan,Yes,unknown,unknown,unknown,unknown/unemployed,
14867,35-44,man,Pakistan,No,university educated,0-3 years,none,data role,"under $30,000"
14868,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14869,35-44,man,Tunisia,No,unknown,0-3 years,none,non data role,"under $30,000"
14870,25-34,man,Egypt,No,university educated,0-3 years,0-2 years,unknown/unemployed,
14871,18-24,man,India,Yes,no university,0-3 years,unknown,unknown/unemployed,
14872,35-44,woman,United States of America,No,university educated,10+ years,5+ years,non data role,
14873,35-44,woman,United Arab Emirates,No,university educated,0-3 years,0-2 years,non data role,
14874,45-54,man,Other,No,university educated,unknown,unknown,unknown/unemployed,
14875,35-44,man,Other,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14876,45-54,woman,United States of America,No,university educated,10+ years,2-5 years,data role,"$125,000+"
14877,18-24,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14878,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14879,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14880,35-44,man,Pakistan,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
14881,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
14882,35-44,man,Mexico,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14883,18-24,man,Morocco,Yes,unknown,unknown,unknown,unknown/unemployed,
14884,18-24,woman,Kenya,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14885,18-24,man,Indonesia,No,university educated,none,unknown,non data role,"under $30,000"
14886,18-24,man,Viet Nam,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14887,35-44,woman,Brazil,Yes,university educated,0-3 years,none,unknown/unemployed,
14888,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14889,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
14890,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14891,18-24,man,Egypt,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14892,35-44,woman,United States of America,No,university educated,none,unknown,non data role,
14893,18-24,man,Russia,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14894,18-24,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
14895,25-34,man,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14896,35-44,man,India,No,university educated,3-10 years,5+ years,data role,"under $30,000"
14897,18-24,man,Morocco,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
14898,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14899,45-54,man,United States of America,No,university educated,3-10 years,none,data role,"$125,000+"
14900,18-24,man,Nigeria,Yes,university educated,none,unknown,unknown/unemployed,
14901,35-44,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
14902,25-34,man,Pakistan,No,no university,0-3 years,0-2 years,data role,"under $30,000"
14903,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14904,18-24,man,Turkey,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
14905,45-54,man,Italy,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
14906,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
14907,55+,other,Other,No,university educated,10+ years,5+ years,non data role,
14908,35-44,woman,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
14909,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14910,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,
14911,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,
14912,25-34,man,Other,No,university educated,10+ years,2-5 years,data role,"under $30,000"
14913,45-54,woman,Other,No,university educated,none,unknown,data role,"under $30,000"
14914,35-44,man,Argentina,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
14915,55+,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
14916,35-44,man,India,No,university educated,10+ years,0-2 years,non data role,"under $30,000"
14917,55+,man,Japan,No,university educated,10+ years,0-2 years,data role,"under $30,000"
14918,25-34,man,Pakistan,No,university educated,0-3 years,2-5 years,non data role,"under $30,000"
14919,25-34,man,Brazil,Yes,no university,3-10 years,2-5 years,unknown/unemployed,
14920,45-54,man,United Arab Emirates,No,university educated,none,unknown,non data role,"$30,000-$69,999"
14921,55+,man,France,Yes,university educated,10+ years,5+ years,unknown/unemployed,
